,name,album,release_date,track_number,valence,popularity,energy,,,
273,betty,folklore,24/7/2020,14,0.502,79,0.377,,,
274,peace,folklore,24/7/2020,15,0.339,73,0.272,,,
275,hoax,folklore,24/7/2020,16,0.429,71,0.181,,,
276,I Forgot That You Existed,Lover,23/8/2019,1,0.541,78,0.316,,,
277,Cruel Summer,Lover,23/8/2019,2,0.564,100,0.702,,,
278,Lover,Lover,23/8/2019,3,0.453,92,0.543,,,
279,The Man,Lover,23/8/2019,4,0.633,87,0.658,,,
280,The Archer,Lover,23/8/2019,5,0.166,83,0.574,,,
281,I Think He Knows,Lover,23/8/2019,6,0.416,79,0.366,,,
282,Miss Americana & The Heartbreak Prince,Lover,23/8/2019,7,0.487,84,0.747,,,
283,Paper Rings,Lover,23/8/2019,8,0.865,86,0.719,,,
284,Cornelia Street,Lover,23/8/2019,9,0.248,81,0.624,,,
285,Death By A Thousand Cuts,Lover,23/8/2019,10,0.313,80,0.732,,,
286,London Boy,Lover,23/8/2019,11,0.557,81,0.71,,,
287,Soon You’ll Get Better (feat. The Chicks),Lover,23/8/2019,12,0.421,73,0.182,,,
288,False God,Lover,23/8/2019,13,0.351,79,0.32,,,
289,You Need To Calm Down,Lover,23/8/2019,14,0.714,84,0.671,,,
290,Afterglow,Lover,23/8/2019,15,0.399,82,0.449,,,
291,ME! (feat. Brendon Urie of Panic! At The Disco),Lover,23/8/2019,16,0.728,81,0.83,,,
292,It’s Nice To Have A Friend,Lover,23/8/2019,17,0.545,73,0.175,,,
293,Daylight,Lover,23/8/2019,18,0.265,84,0.496,,,
294,...Ready For It?,reputation,10/11/2017,1,0.417,85,0.764,,,
295,End Game,reputation,10/11/2017,2,0.151,82,0.589,,,
296,I Did Something Bad,reputation,10/11/2017,3,0.305,83,0.602,,,
297,Don’t Blame Me,reputation,10/11/2017,4,0.193,92,0.534,,,
298,Delicate,reputation,10/11/2017,5,0.0499,88,0.404,,,
299,Look What You Made Me Do,reputation,10/11/2017,6,0.506,87,0.709,,,
300,So It Goes...,reputation,10/11/2017,7,0.374,76,0.61,,,
301,Gorgeous,reputation,10/11/2017,8,0.451,84,0.535,,,
302,Getaway Car,reputation,10/11/2017,9,0.351,88,0.689,,,
303,King Of My Heart,reputation,10/11/2017,10,0.314,80,0.703,,,
304,Dancing With Our Hands Tied,reputation,10/11/2017,11,0.284,79,0.691,,,
305,Dress,reputation,10/11/2017,12,0.0851,83,0.469,,,
306,This Is Why We Can't Have Nice Things,reputation,10/11/2017,13,0.438,78,0.789,,,
307,Call It What You Want,reputation,10/11/2017,14,0.252,82,0.504,,,
308,New Year’s Day,reputation,10/11/2017,15,0.23,77,0.151,,,
309,All Too Well,reputation Stadium Tour Surprise Song Playlist,9/11/2017,1,0.316,43,0.605,,,
310,Wildest Dreams,reputation Stadium Tour Surprise Song Playlist,9/11/2017,2,0.465,46,0.688,,,
311,The Best Day,reputation Stadium Tour Surprise Song Playlist,9/11/2017,3,0.383,37,0.448,,,
312,Red,reputation Stadium Tour Surprise Song Playlist,9/11/2017,4,0.647,40,0.899,,,
313,Holy Ground,reputation Stadium Tour Surprise Song Playlist,9/11/2017,5,0.648,37,0.816,,,
314,Teardrops On My Guitar - Radio Single Remix,reputation Stadium Tour Surprise Song Playlist,9/11/2017,6,0.263,39,0.427,,,
315,Our Song,reputation Stadium Tour Surprise Song Playlist,9/11/2017,7,0.565,44,0.663,,,
316,22,reputation Stadium Tour Surprise Song Playlist,9/11/2017,8,0.68,42,0.733,,,
317,I Knew You Were Trouble.,reputation Stadium Tour Surprise Song Playlist,9/11/2017,9,0.665,44,0.464,,,
318,I Don’t Wanna Live Forever (Fifty Shades Darker),reputation Stadium Tour Surprise Song Playlist,9/11/2017,10,0.106,84,0.445,,,
319,Mean,reputation Stadium Tour Surprise Song Playlist,9/11/2017,11,0.79,40,0.754,,,
320,How You Get The Girl,reputation Stadium Tour Surprise Song Playlist,9/11/2017,12,0.545,40,0.656,,,
321,So It Goes...,reputation Stadium Tour Surprise Song Playlist,9/11/2017,13,0.374,57,0.61,,,
322,Fifteen,reputation Stadium Tour Surprise Song Playlist,9/11/2017,14,0.211,37,0.628,,,
323,Mine,reputation Stadium Tour Surprise Song Playlist,9/11/2017,15,0.67,41,0.779,,,
324,Sparks Fly,reputation Stadium Tour Surprise Song Playlist,9/11/2017,16,0.399,38,0.782,,,
325,State Of Grace,reputation Stadium Tour Surprise Song Playlist,9/11/2017,17,0.383,35,0.828,,,
326,Haunted,reputation Stadium Tour Surprise Song Playlist,9/11/2017,18,0.37,38,0.949,,,
327,Never Grow Up,reputation Stadium Tour Surprise Song Playlist,9/11/2017,19,0.545,36,0.309,,,
328,Treacherous,reputation Stadium Tour Surprise Song Playlist,9/11/2017,20,0.395,34,0.621,,,
329,Babe,reputation Stadium Tour Surprise Song Playlist,9/11/2017,21,0.643,35,0.784,,,
330,Welcome To New York,reputation Stadium Tour Surprise Song Playlist,9/11/2017,22,0.658,40,0.634,,,
331,Fearless,reputation Stadium Tour Surprise Song Playlist,9/11/2017,23,0.429,37,0.718,,,
332,Enchanted,reputation Stadium Tour Surprise Song Playlist,9/11/2017,24,0.218,48,0.626,,,
333,Change,reputation Stadium Tour Surprise Song Playlist,9/11/2017,25,0.234,34,0.763,,,
334,Ours,reputation Stadium Tour Surprise Song Playlist,9/11/2017,26,0.228,38,0.56,,,
335,Out Of The Woods,reputation Stadium Tour Surprise Song Playlist,9/11/2017,27,0.338,42,0.841,,,
336,Come Back...Be Here,reputation Stadium Tour Surprise Song Playlist,9/11/2017,28,0.217,35,0.548,,,
337,A Place in this World,reputation Stadium Tour Surprise Song Playlist,9/11/2017,29,0.438,34,0.767,,,
338,This Love,reputation Stadium Tour Surprise Song Playlist,9/11/2017,30,0.107,35,0.435,,,
339,The Lucky One,reputation Stadium Tour Surprise Song Playlist,9/11/2017,31,0.561,34,0.505,,,
340,Invisible,reputation Stadium Tour Surprise Song Playlist,9/11/2017,32,0.224,34,0.383,,,
341,Breathe,reputation Stadium Tour Surprise Song Playlist,9/11/2017,33,0.167,37,0.48,,,
342,Better Man,reputation Stadium Tour Surprise Song Playlist,9/11/2017,34,0.507,38,0.843,,,
343,Jump Then Fall,reputation Stadium Tour Surprise Song Playlist,9/11/2017,35,0.818,33,0.699,,,
344,Begin Again,reputation Stadium Tour Surprise Song Playlist,9/11/2017,36,0.323,35,0.526,,,
345,Tied Together with a Smile,reputation Stadium Tour Surprise Song Playlist,9/11/2017,37,0.238,34,0.547,,,
346,The Story Of Us,reputation Stadium Tour Surprise Song Playlist,9/11/2017,38,0.65,36,0.808,,,
347,Forever & Always,reputation Stadium Tour Surprise Song Playlist,9/11/2017,39,0.52,34,0.829,,,
348,Hey Stephen,reputation Stadium Tour Surprise Song Playlist,9/11/2017,40,0.838,33,0.541,,,
349,Speak Now,reputation Stadium Tour Surprise Song Playlist,9/11/2017,41,0.714,37,0.603,,,
350,Wonderland,reputation Stadium Tour Surprise Song Playlist,9/11/2017,42,0.197,43,0.692,,,
351,White Horse,reputation Stadium Tour Surprise Song Playlist,9/11/2017,43,0.218,35,0.348,,,
352,I'm Only Me When I'm With You,reputation Stadium Tour Surprise Song Playlist,9/11/2017,44,0.521,36,0.933,,,
353,Starlight,reputation Stadium Tour Surprise Song Playlist,9/11/2017,45,0.616,34,0.777,,,
354,I Know Places,reputation Stadium Tour Surprise Song Playlist,9/11/2017,46,0.495,39,0.755,,,
355,Welcome To New York,1989 (Deluxe Edition),27/10/2014,1,0.658,67,0.634,,,
356,Blank Space,1989 (Deluxe Edition),27/10/2014,2,0.57,70,0.703,,,
357,Style,1989 (Deluxe Edition),27/10/2014,3,0.487,72,0.791,,,
358,Out Of The Woods,1989 (Deluxe Edition),27/10/2014,4,0.338,70,0.841,,,
359,All You Had To Do Was Stay,1989 (Deluxe Edition),27/10/2014,5,0.539,68,0.725,,,
360,Shake It Off,1989 (Deluxe Edition),27/10/2014,6,0.942,68,0.8,,,
361,I Wish You Would,1989 (Deluxe Edition),27/10/2014,7,0.513,71,0.893,,,
362,Bad Blood,1989 (Deluxe Edition),27/10/2014,8,0.287,67,0.794,,,
363,Wildest Dreams,1989 (Deluxe Edition),27/10/2014,9,0.465,66,0.688,,,
364,How You Get The Girl,1989 (Deluxe Edition),27/10/2014,10,0.545,70,0.656,,,
365,This Love,1989 (Deluxe Edition),27/10/2014,11,0.107,65,0.435,,,
366,I Know Places,1989 (Deluxe Edition),27/10/2014,12,0.495,69,0.755,,,
367,Clean,1989 (Deluxe Edition),27/10/2014,13,0.211,72,0.377,,,
368,Wonderland,1989 (Deluxe Edition),27/10/2014,14,0.197,72,0.692,,,
369,You Are In Love,1989 (Deluxe Edition),27/10/2014,15,0.319,72,0.48,,,
370,New Romantics,1989 (Deluxe Edition),27/10/2014,16,0.584,76,0.889,,,
371,I Know Places - Voice Memo,1989 (Deluxe Edition),27/10/2014,17,0.15,55,0.128,,,
372,I Wish You Would - Voice Memo,1989 (Deluxe Edition),27/10/2014,18,0.645,53,0.357,,,
373,Blank Space - Voice Memo,1989 (Deluxe Edition),27/10/2014,19,0.578,53,0.234,,,
374,Welcome To New York,1989,27/10/2014,1,0.615,70,0.634,,,
375,Blank Space,1989,27/10/2014,2,0.583,83,0.678,,,
376,Style,1989,27/10/2014,3,0.456,83,0.786,,,
377,Out Of The Woods,1989,27/10/2014,4,0.343,72,0.842,,,
378,All You Had To Do Was Stay,1989,27/10/2014,5,0.471,70,0.736,,,
379,Shake It Off,1989,27/10/2014,6,0.943,79,0.785,,,
380,I Wish You Would,1989,27/10/2014,7,0.502,62,0.898,,,
381,Bad Blood,1989,27/10/2014,8,0.295,75,0.802,,,
382,Wildest Dreams,1989,27/10/2014,9,0.472,76,0.666,,,
383,How You Get The Girl,1989,27/10/2014,10,0.524,60,0.66,,,
384,This Love,1989,27/10/2014,11,0.0828,57,0.459,,,
385,I Know Places,1989,27/10/2014,12,0.507,59,0.763,,,
386,Clean,1989,27/10/2014,13,0.22,60,0.379,,,
387,State Of Grace,Red (Deluxe Edition),22/10/2012,1,0.397,49,0.825,,,
388,Red,Red (Deluxe Edition),22/10/2012,2,0.641,55,0.896,,,
389,Treacherous,Red (Deluxe Edition),22/10/2012,3,0.395,47,0.621,,,
390,I Knew You Were Trouble.,Red (Deluxe Edition),22/10/2012,4,0.679,54,0.469,,,
391,All Too Well,Red (Deluxe Edition),22/10/2012,5,0.337,61,0.609,,,
392,22,Red (Deluxe Edition),22/10/2012,6,0.668,60,0.729,,,
393,I Almost Do,Red (Deluxe Edition),22/10/2012,7,0.233,47,0.481,,,
394,We Are Never Ever Getting Back Together,Red (Deluxe Edition),22/10/2012,8,0.75,53,0.676,,,
395,Stay Stay Stay,Red (Deluxe Edition),22/10/2012,9,0.928,48,0.748,,,
396,The Last Time,Red (Deluxe Edition),22/10/2012,10,0.123,49,0.443,,,
397,Holy Ground,Red (Deluxe Edition),22/10/2012,11,0.648,47,0.816,,,
398,Sad Beautiful Tragic,Red (Deluxe Edition),22/10/2012,12,0.261,45,0.34,,,
399,The Lucky One,Red (Deluxe Edition),22/10/2012,13,0.545,45,0.499,,,
400,Everything Has Changed,Red (Deluxe Edition),22/10/2012,14,0.436,49,0.458,,,
401,Starlight,Red (Deluxe Edition),22/10/2012,15,0.587,45,0.777,,,
402,Begin Again,Red (Deluxe Edition),22/10/2012,16,0.323,46,0.526,,,
403,The Moment I Knew,Red (Deluxe Edition),22/10/2012,17,0.275,43,0.506,,,
404,Come Back...Be Here,Red (Deluxe Edition),22/10/2012,18,0.217,48,0.548,,,
405,Girl At Home,Red (Deluxe Edition),22/10/2012,19,0.633,41,0.59,,,
406,Treacherous - Original Demo Recording,Red (Deluxe Edition),22/10/2012,20,0.519,39,0.64,,,
407,Red - Original Demo Recording,Red (Deluxe Edition),22/10/2012,21,0.637,40,0.902,,,
408,State Of Grace - Acoustic,Red (Deluxe Edition),22/10/2012,22,0.0682,42,0.118,,,
409,State Of Grace,Red,22/10/2012,1,0.397,44,0.825,,,
410,Red,Red,22/10/2012,2,0.641,61,0.896,,,
411,Treacherous,Red,22/10/2012,3,0.395,42,0.621,,,
412,I Knew You Were Trouble.,Red,22/10/2012,4,0.679,64,0.469,,,
413,All Too Well,Red,22/10/2012,5,0.337,50,0.609,,,
414,22,Red,22/10/2012,6,0.668,54,0.729,,,
415,I Almost Do,Red,22/10/2012,7,0.233,45,0.481,,,
416,We Are Never Ever Getting Back Together,Red,22/10/2012,8,0.75,62,0.676,,,
417,Stay Stay Stay,Red,22/10/2012,9,0.928,43,0.748,,,
418,The Last Time,Red,22/10/2012,10,0.123,41,0.443,,,
419,Holy Ground,Red,22/10/2012,11,0.648,41,0.816,,,
420,Sad Beautiful Tragic,Red,22/10/2012,12,0.261,40,0.34,,,
421,The Lucky One,Red,22/10/2012,13,0.545,40,0.499,,,
422,Everything Has Changed,Red,22/10/2012,14,0.436,55,0.458,,,
423,Starlight,Red,22/10/2012,15,0.587,41,0.777,,,
424,Begin Again,Red,22/10/2012,16,0.323,59,0.526,,,
425,Sparks Fly - Live/2011,Speak Now World Tour Live,25/10/2010,1,0.298,49,0.783,,,
426,Mine - Live/2011,Speak Now World Tour Live,25/10/2010,2,0.442,48,0.852,,,
427,The Story Of Us - Live,Speak Now World Tour Live,25/10/2010,3,0.472,48,0.908,,,
428,Mean - Live/2011,Speak Now World Tour Live,25/10/2010,4,0.432,47,0.915,,,
429,Ours - Live/2011,Speak Now World Tour Live,25/10/2010,5,0.267,47,0.355,,,
430,Back To December/Apologize/You're Not Sorry - Live/2011/Medley,Speak Now World Tour Live,25/10/2010,6,0.171,54,0.516,,,
431,Better Than Revenge - Live/2011,Speak Now World Tour Live,25/10/2010,7,0.386,49,0.887,,,
432,Speak Now - Live/2011,Speak Now World Tour Live,25/10/2010,8,0.373,48,0.694,,,
433,Last Kiss - Live/2011,Speak Now World Tour Live,25/10/2010,9,0.188,47,0.395,,,
434,Drops Of Jupiter - Live/2011,Speak Now World Tour Live,25/10/2010,10,0.27,53,0.504,,,
435,Bette Davis Eyes - Live/2011,Speak Now World Tour Live,25/10/2010,11,0.363,49,0.488,,,
436,I Want You Back - Live/2011,Speak Now World Tour Live,25/10/2010,12,0.249,50,0.512,,,
437,Dear John - Live/2011,Speak Now World Tour Live,25/10/2010,13,0.138,48,0.386,,,
438,Enchanted - Live/2011,Speak Now World Tour Live,25/10/2010,14,0.214,50,0.663,,,
439,Haunted - Live/2011,Speak Now World Tour Live,25/10/2010,15,0.177,48,0.818,,,
440,Long Live - Live/2011,Speak Now World Tour Live,25/10/2010,16,0.204,49,0.728,,,
441,Mine,Speak Now (Deluxe Edition),25/10/2010,1,0.658,55,0.757,,,
442,Sparks Fly,Speak Now (Deluxe Edition),25/10/2010,2,0.374,55,0.787,,,
443,Back To December,Speak Now (Deluxe Edition),25/10/2010,3,0.286,55,0.67,,,
444,Speak Now,Speak Now (Deluxe Edition),25/10/2010,4,0.735,50,0.599,,,
445,Dear John,Speak Now (Deluxe Edition),25/10/2010,5,0.102,55,0.47,,,
446,Mean,Speak Now (Deluxe Edition),25/10/2010,6,0.789,57,0.761,,,
447,The Story Of Us,Speak Now (Deluxe Edition),25/10/2010,7,0.683,51,0.818,,,
448,Never Grow Up,Speak Now (Deluxe Edition),25/10/2010,8,0.554,54,0.305,,,
449,Enchanted,Speak Now (Deluxe Edition),25/10/2010,9,0.208,55,0.623,,,
450,Better Than Revenge,Speak Now (Deluxe Edition),25/10/2010,10,0.635,63,0.917,,,
451,Innocent,Speak Now (Deluxe Edition),25/10/2010,11,0.17,46,0.608,,,
452,Haunted,Speak Now (Deluxe Edition),25/10/2010,12,0.352,56,0.95,,,
453,Last Kiss,Speak Now (Deluxe Edition),25/10/2010,13,0.196,52,0.341,,,
454,Long Live,Speak Now (Deluxe Edition),25/10/2010,14,0.142,52,0.68,,,
455,Ours,Speak Now (Deluxe Edition),25/10/2010,15,0.238,55,0.569,,,
456,If This Was A Movie,Speak Now (Deluxe Edition),25/10/2010,16,0.289,51,0.719,,,
457,Superman,Speak Now (Deluxe Edition),25/10/2010,17,0.559,47,0.765,,,
458,Back To December - Acoustic,Speak Now (Deluxe Edition),25/10/2010,18,0.377,51,0.453,,,
459,Haunted - Acoustic Version,Speak Now (Deluxe Edition),25/10/2010,19,0.313,50,0.443,,,
460,Mine - POP Mix,Speak Now (Deluxe Edition),25/10/2010,20,0.679,46,0.723,,,
461,Mine,Speak Now,25/10/2010,1,0.658,63,0.757,,,
462,Sparks Fly,Speak Now,25/10/2010,2,0.374,62,0.787,,,
463,Back To December,Speak Now,25/10/2010,3,0.286,66,0.67,,,
464,Speak Now,Speak Now,25/10/2010,4,0.735,59,0.599,,,
465,Dear John,Speak Now,25/10/2010,5,0.102,56,0.47,,,
466,Mean,Speak Now,25/10/2010,6,0.789,64,0.761,,,
467,The Story Of Us,Speak Now,25/10/2010,7,0.683,59,0.818,,,
468,Never Grow Up,Speak Now,25/10/2010,8,0.554,54,0.305,,,
469,Enchanted,Speak Now,25/10/2010,9,0.208,73,0.623,,,
470,Better Than Revenge,Speak Now,25/10/2010,10,0.635,61,0.917,,,
471,Innocent,Speak Now,25/10/2010,11,0.17,49,0.608,,,
472,Haunted,Speak Now,25/10/2010,12,0.352,56,0.95,,,
473,Last Kiss,Speak Now,25/10/2010,13,0.196,57,0.341,,,
474,Long Live,Speak Now,25/10/2010,14,0.142,55,0.68,,,
475,Jump Then Fall,Fearless Platinum Edition,11/11/2008,1,0.82,46,0.687,,,
476,Untouchable,Fearless Platinum Edition,11/11/2008,2,0.288,45,0.454,,,
477,Forever & Always - Piano Version,Fearless Platinum Edition,11/11/2008,3,0.294,46,0.16,,,
478,Come In With The Rain,Fearless Platinum Edition,11/11/2008,4,0.224,45,0.475,,,
479,SuperStar,Fearless Platinum Edition,11/11/2008,5,0.228,43,0.531,,,
480,The Other Side Of The Door,Fearless Platinum Edition,11/11/2008,6,0.469,44,0.816,,,
481,Fearless,Fearless Platinum Edition,11/11/2008,7,0.467,48,0.714,,,
482,Fifteen,Fearless Platinum Edition,11/11/2008,8,0.214,47,0.636,,,
483,Love Story,Fearless Platinum Edition,11/11/2008,9,0.307,53,0.736,,,
484,Hey Stephen,Fearless Platinum Edition,11/11/2008,10,0.825,45,0.553,,,
485,White Horse,Fearless Platinum Edition,11/11/2008,11,0.195,46,0.346,,,
486,You Belong With Me,Fearless Platinum Edition,11/11/2008,12,0.445,54,0.771,,,
487,Breathe,Fearless Platinum Edition,11/11/2008,13,0.17,46,0.486,,,
488,Tell Me Why,Fearless Platinum Edition,11/11/2008,14,0.513,43,0.852,,,
489,You're Not Sorry,Fearless Platinum Edition,11/11/2008,15,0.281,44,0.459,,,
490,The Way I Loved You,Fearless Platinum Edition,11/11/2008,16,0.379,46,0.712,,,
491,Forever & Always,Fearless Platinum Edition,11/11/2008,17,0.514,45,0.829,,,
492,The Best Day,Fearless Platinum Edition,11/11/2008,18,0.364,44,0.447,,,
493,Change,Fearless Platinum Edition,11/11/2008,19,0.224,43,0.756,,,
494,Fearless,Fearless,11/11/2008,1,0.476,61,0.712,,,
495,Fifteen,Fearless,11/11/2008,2,0.203,60,0.651,,,
496,Love Story,Fearless,11/11/2008,3,0.296,71,0.741,,,
497,Hey Stephen,Fearless,11/11/2008,4,0.831,50,0.544,,,
498,White Horse,Fearless,11/11/2008,5,0.223,55,0.34,,,
499,You Belong With Me,Fearless,11/11/2008,6,0.443,72,0.783,,,
500,Breathe,Fearless,11/11/2008,7,0.184,47,0.482,,,
501,Tell Me Why,Fearless,11/11/2008,8,0.51,46,0.855,,,
502,You're Not Sorry,Fearless,11/11/2008,9,0.276,48,0.452,,,
503,The Way I Loved You,Fearless,11/11/2008,10,0.398,56,0.7,,,
504,Forever & Always,Fearless,11/11/2008,11,0.544,51,0.821,,,
505,The Best Day,Fearless,11/11/2008,12,0.396,49,0.434,,,
506,Change,Fearless,11/11/2008,13,0.215,44,0.77,,,
507,Love Story - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,28/6/2008,1,0.512,42,0.444,,,
508,Fearless - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,28/6/2008,2,0.467,42,0.266,,,
509,Beautiful Eyes - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,28/6/2008,3,0.457,45,0.704,,,
510,Untouchable - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,28/6/2008,4,0.331,38,0.184,,,
511,Teardrops On My Guitar - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,28/6/2008,5,0.615,38,0.801,,,
512,Picture To Burn - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,28/6/2008,6,0.684,37,0.872,,,
513,Should've Said No - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,28/6/2008,7,0.438,38,0.808,,,
514,Change - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,28/6/2008,8,0.273,35,0.712,,,
515,Tim McGraw,Taylor Swift,24/10/2006,1,0.425,68,0.491,,,
516,Picture To Burn,Taylor Swift,24/10/2006,2,0.821,72,0.877,,,
517,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,24/10/2006,3,0.289,69,0.417,,,
518,A Place in this World,Taylor Swift,24/10/2006,4,0.428,60,0.777,,,
519,Cold As You,Taylor Swift,24/10/2006,5,0.261,60,0.482,,,
520,The Outside,Taylor Swift,24/10/2006,6,0.591,58,0.805,,,
521,Tied Together with a Smile,Taylor Swift,24/10/2006,7,0.192,59,0.578,,,
522,Stay Beautiful,Taylor Swift,24/10/2006,8,0.504,59,0.629,,,
523,Should've Said No,Taylor Swift,24/10/2006,9,0.472,69,0.777,,,
524,Mary's Song (Oh My My My),Taylor Swift,24/10/2006,10,0.374,62,0.627,,,
525,Our Song,Taylor Swift,24/10/2006,11,0.539,77,0.672,,,
526,I'm Only Me When I'm With You,Taylor Swift,24/10/2006,12,0.518,62,0.934,,,
527,Invisible,Taylor Swift,24/10/2006,13,0.233,58,0.394,,,
528,A Perfectly Good Heart,Taylor Swift,24/10/2006,14,0.268,57,0.751,,,
529,Teardrops on My Guitar - Pop Version,Taylor Swift,24/10/2006,15,0.483,57,0.753,,,
